                          Lexeme   Line                 Token Type                 Value     IsLeaf         Parent Token
                              d3      9                      TK_ID       ---------------        Yes               idList
                 ---------------    ---                     idList       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                   more_ids       ---------------         No       --------------
                               ]      9                     TK_SQR       ---------------        Yes       optionalReturn
                               ;      9                     TK_SEM       ---------------        Yes           returnStmt
                             end     10                     TK_END       ---------------        Yes             function
                 ---------------    ---             otherFunctions       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             otherFunctions       ---------------         No       --------------
                 ---------------    ---                    program       ---------------         No       --------------
                           _main     12                    TK_MAIN       ---------------        Yes         mainFunction
                 ---------------    ---               mainFunction       ---------------         No       --------------
                          record     13                  TK_RECORD       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                           #book     13                    TK_RUID       ---------------        Yes       typeDefinition
                            type     14                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                             int     14                     TK_INT       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     14                   TK_COLON       ---------------        Yes      fieldDefinition
                         edition     14                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     14                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type     15                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                            real     15                    TK_REAL       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     15                   TK_COLON       ---------------        Yes      fieldDefinition
                           price     15                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     15                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                 moreFields       ---------------         No       --------------
                       endrecord     16               TK_ENDRECORD       ---------------        Yes       typeDefinition
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                 ---------------    ---                      stmts       ---------------         No       --------------
                            type     18                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     18                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book     18                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     18                   TK_COLON       ---------------        Yes          declaration
                              b2     18                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     18                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                            type     19                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     19                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book     19                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     19                   TK_COLON       ---------------        Yes          declaration
                              c2     19                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     19                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                            type     20                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     20                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book     20                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     20                   TK_COLON       ---------------        Yes          declaration
                              d2     20                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     20                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                            type     21                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     21                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                            #new     21                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     21                   TK_COLON       ---------------        Yes          declaration
                          b7bc34     21                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     21                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---               declarations       ---------------         No       --------------
