                          Lexeme   Line                 Token Type                 Value             Parent Node Symbol     IsLeaf                    Node Symbol
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                           write     23                   TK_WRITE       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           stmt         No                         ioStmt
                               (     23                      TK_OP       ---------------                         ioStmt        Yes      -------------------------
                          c4bd56     23                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                            var         No                  singleOrRecId
                 ---------------    ---                 TK_EPSILON       ---------------      option_single_constructed        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---             --------------       ---------------                         ioStmt         No                            var
                               )     23                      TK_CL       ---------------                         ioStmt        Yes      -------------------------
                               ;     23                     TK_SEM       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                 ---------------    ---                 TK_EPSILON       ---------------                     otherStmts        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                          return     24                  TK_RETURN       ---------------                     returnStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                          stmts         No                     returnStmt
                 ---------------    ---                 TK_EPSILON       ---------------                 optionalReturn        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     returnStmt         No                 optionalReturn
                               ;     24                     TK_SEM       ---------------                     returnStmt        Yes      -------------------------
                             end     25                     TK_END       ---------------                       function        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 otherFunctions         No                 otherFunctions
                      _readMarks     35                   TK_FUNID       ---------------                       function        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 otherFunctions         No                       function
                           input     35                   TK_INPUT       ---------------                      input_par        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       function         No                      input_par
                       parameter     35               TK_PARAMETER       ---------------                      input_par        Yes      -------------------------
                            list     35                    TK_LIST       ---------------                      input_par        Yes      -------------------------
                               [     35                     TK_SQL       ---------------                      input_par        Yes      -------------------------
                             int     35                     TK_INT       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                 parameter_list         No                       dataType
                 ---------------    ---             --------------       ---------------                      input_par         No                 parameter_list
                              b7     35                      TK_ID       ---------------                 parameter_list        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                 remaining_list        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                 remaining_list
                               ]     35                     TK_SQR       ---------------                      input_par        Yes      -------------------------
                          output     36                  TK_OUTPUT       ---------------                     output_par        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       function         No                     output_par
                       parameter     36               TK_PARAMETER       ---------------                     output_par        Yes      -------------------------
                            list     36                    TK_LIST       ---------------                     output_par        Yes      -------------------------
                               [     36                     TK_SQL       ---------------                     output_par        Yes      -------------------------
                          record     36                  TK_RECORD       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No            constructedDatatype
                          #marks     36                    TK_RUID       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                       dataType
                 ---------------    ---             --------------       ---------------                     output_par         No                 parameter_list
                           b3c45     36                      TK_ID       ---------------                 parameter_list        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                 remaining_list        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                 remaining_list
                               ]     36                     TK_SQR       ---------------                     output_par        Yes      -------------------------
                               ;     36                     TK_SEM       ---------------                       function        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                typeDefinitions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                          stmts         No                typeDefinitions
                 ---------------    ---             --------------       ---------------                       function         No                          stmts
                 ---------------    ---                 TK_EPSILON       ---------------                   declarations        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                          stmts         No                   declarations
                            read     37                    TK_READ       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           stmt         No                         ioStmt
                               (     37                      TK_OP       ---------------                         ioStmt        Yes      -------------------------
                           b3c45     37                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                            var         No                  singleOrRecId
                               .     37                     TK_DOT       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                   oneExpansion
                           maths     37                 TK_FIELDID       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---                 TK_EPSILON       ---------------                 moreExpansions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                 moreExpansions
                 ---------------    ---             --------------       ---------------                         ioStmt         No                            var
                               )     37                      TK_CL       ---------------                         ioStmt        Yes      -------------------------
                               ;     37                     TK_SEM       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                          stmts         No                     otherStmts
                            read     38                    TK_READ       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           stmt         No                         ioStmt
                               (     38                      TK_OP       ---------------                         ioStmt        Yes      -------------------------
                           b3c45     38                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                            var         No                  singleOrRecId
                               .     38                     TK_DOT       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                   oneExpansion
                         physics     38                 TK_FIELDID       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---                 TK_EPSILON       ---------------                 moreExpansions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                 moreExpansions
                 ---------------    ---             --------------       ---------------                         ioStmt         No                            var
                               )     38                      TK_CL       ---------------                         ioStmt        Yes      -------------------------
                               ;     38                     TK_SEM       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                            read     39                    TK_READ       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           stmt         No                         ioStmt
                               (     39                      TK_OP       ---------------                         ioStmt        Yes      -------------------------
                           b3c45     39                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                            var         No                  singleOrRecId
                               .     39                     TK_DOT       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                   oneExpansion
                       chemistry     39                 TK_FIELDID       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---                 TK_EPSILON       ---------------                 moreExpansions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                 moreExpansions
                 ---------------    ---             --------------       ---------------                         ioStmt         No                            var
                               )     39                      TK_CL       ---------------                         ioStmt        Yes      -------------------------
                               ;     39                     TK_SEM       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                 ---------------    ---                 TK_EPSILON       ---------------                     otherStmts        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                          return     40                  TK_RETURN       ---------------                     returnStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                          stmts         No                     returnStmt
                               [     40                     TK_SQL       ---------------                 optionalReturn        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     returnStmt         No                 optionalReturn
                           b3c45     40                      TK_ID       ---------------                         idList        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 optionalReturn         No                         idList
                 ---------------    ---                 TK_EPSILON       ---------------                       more_ids        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                         idList         No                       more_ids
                               ]     40                     TK_SQR       ---------------                 optionalReturn        Yes      -------------------------
                               ;     40                     TK_SEM       ---------------                     returnStmt        Yes      -------------------------
                             end     41                     TK_END       ---------------                       function        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 otherFunctions         No                 otherFunctions
                   _readMarkstwo     47                   TK_FUNID       ---------------                       function        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 otherFunctions         No                       function
                           input     47                   TK_INPUT       ---------------                      input_par        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       function         No                      input_par
                       parameter     47               TK_PARAMETER       ---------------                      input_par        Yes      -------------------------
                            list     47                    TK_LIST       ---------------                      input_par        Yes      -------------------------
                               [     47                     TK_SQL       ---------------                      input_par        Yes      -------------------------
                             int     47                     TK_INT       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                 parameter_list         No                       dataType
                 ---------------    ---             --------------       ---------------                      input_par         No                 parameter_list
                              b7     47                      TK_ID       ---------------                 parameter_list        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                 remaining_list        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                 remaining_list
                               ]     47                     TK_SQR       ---------------                      input_par        Yes      -------------------------
                          output     48                  TK_OUTPUT       ---------------                     output_par        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       function         No                     output_par
                       parameter     48               TK_PARAMETER       ---------------                     output_par        Yes      -------------------------
                            list     48                    TK_LIST       ---------------                     output_par        Yes      -------------------------
                               [     48                     TK_SQL       ---------------                     output_par        Yes      -------------------------
                          record     48                  TK_RECORD       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No            constructedDatatype
                          #marks     48                    TK_RUID       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                       dataType
                 ---------------    ---             --------------       ---------------                     output_par         No                 parameter_list
                           b3c45     48                      TK_ID       ---------------                 parameter_list        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                 remaining_list        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 parameter_list         No                 remaining_list
                               ]     48                     TK_SQR       ---------------                     output_par        Yes      -------------------------
                               ;     48                     TK_SEM       ---------------                       function        Yes      -------------------------
                          record     49                  TK_RECORD       ---------------                 typeDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------              actualOrRedefined         No                 typeDefinition
                          #marks     49                    TK_RUID       ---------------                 typeDefinition        Yes      -------------------------
                            type     50                    TK_TYPE       ---------------                fieldDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------               fieldDefinitions         No                fieldDefinition
                            real     50                    TK_REAL       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                      fieldType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                fieldDefinition         No                      fieldType
                               :     50                   TK_COLON       ---------------                fieldDefinition        Yes      -------------------------
                           maths     50                 TK_FIELDID       ---------------                fieldDefinition        Yes      -------------------------
                               ;     50                     TK_SEM       ---------------                fieldDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 typeDefinition         No               fieldDefinitions
                            type     51                    TK_TYPE       ---------------                fieldDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------               fieldDefinitions         No                fieldDefinition
                            real     51                    TK_REAL       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                      fieldType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                fieldDefinition         No                      fieldType
                               :     51                   TK_COLON       ---------------                fieldDefinition        Yes      -------------------------
                         physics     51                 TK_FIELDID       ---------------                fieldDefinition        Yes      -------------------------
                               ;     51                     TK_SEM       ---------------                fieldDefinition        Yes      -------------------------
                            type     52                    TK_TYPE       ---------------                fieldDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     moreFields         No                fieldDefinition
                            real     52                    TK_REAL       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                      fieldType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                fieldDefinition         No                      fieldType
                               :     52                   TK_COLON       ---------------                fieldDefinition        Yes      -------------------------
                       chemistry     52                 TK_FIELDID       ---------------                fieldDefinition        Yes      -------------------------
                               ;     52                     TK_SEM       ---------------                fieldDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------               fieldDefinitions         No                     moreFields
                 ---------------    ---                 TK_EPSILON       ---------------                     moreFields        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     moreFields         No                     moreFields
                       endrecord     53               TK_ENDRECORD       ---------------                 typeDefinition        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                typeDefinitions         No              actualOrRedefined
                 ---------------    ---             --------------       ---------------                          stmts         No                typeDefinitions
                 ---------------    ---                 TK_EPSILON       ---------------                typeDefinitions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                typeDefinitions         No                typeDefinitions
                 ---------------    ---             --------------       ---------------                       function         No                          stmts
                            type     56                    TK_TYPE       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                    declaration
                          record     56                  TK_RECORD       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No            constructedDatatype
                          #marks     56                    TK_RUID       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                       dataType
                               :     56                   TK_COLON       ---------------                    declaration        Yes      -------------------------
                              d4     56                      TK_ID       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                  global_or_not        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                  global_or_not
                               ;     56                     TK_SEM       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                          stmts         No                   declarations
                            type     59                    TK_TYPE       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                    declaration
                             int     59                     TK_INT       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                    declaration         No                       dataType
                               :     59                   TK_COLON       ---------------                    declaration        Yes      -------------------------
                              b5     59                      TK_ID       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                  global_or_not        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                  global_or_not
                               ;     59                     TK_SEM       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                   declarations
                            type     60                    TK_TYPE       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                    declaration
                             int     60                     TK_INT       ---------------              primitiveDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No              primitiveDatatype
                 ---------------    ---             --------------       ---------------                    declaration         No                       dataType
                               :     60                   TK_COLON       ---------------                    declaration        Yes      -------------------------
                       d5cb34567     60                      TK_ID       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                  global_or_not        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                  global_or_not
                               ;     60                     TK_SEM       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                   declarations
                            type     61                    TK_TYPE       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                    declaration
                          record     61                  TK_RECORD       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                       dataType         No            constructedDatatype
                          #marks     61                    TK_RUID       ---------------            constructedDatatype        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                       dataType
                               :     61                   TK_COLON       ---------------                    declaration        Yes      -------------------------
                            b5c6     61                      TK_ID       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---                 TK_EPSILON       ---------------                  global_or_not        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                    declaration         No                  global_or_not
                               ;     61                     TK_SEM       ---------------                    declaration        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                   declarations
                 ---------------    ---                 TK_EPSILON       ---------------                   declarations        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                   declarations         No                   declarations
                              b5     64                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 assignmentStmt         No                  singleOrRecId
                 ---------------    ---                 TK_EPSILON       ---------------      option_single_constructed        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---             --------------       ---------------                           stmt         No                 assignmentStmt
                            <---     64                TK_ASSIGNOP       ---------------                 assignmentStmt        Yes      -------------------------
                               1     64                     TK_NUM                     1                            var        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                         factor         No                            var
                 ---------------    ---             --------------       ---------------                           term         No                         factor
                 ---------------    ---             --------------       ---------------           arithmeticExpression         No                           term
                 ---------------    ---                 TK_EPSILON       ---------------                      termPrime        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           term         No                      termPrime
                 ---------------    ---             --------------       ---------------                 assignmentStmt         No           arithmeticExpression
                 ---------------    ---                 TK_EPSILON       ---------------                       expPrime        Yes      -------------------------
                 ---------------    ---             --------------       ---------------           arithmeticExpression         No                       expPrime
                               ;     64                     TK_SEM       ---------------                 assignmentStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                          stmts         No                     otherStmts
                            read     65                    TK_READ       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                           stmt         No                         ioStmt
                               (     65                      TK_OP       ---------------                         ioStmt        Yes      -------------------------
                       d5cb34567     65                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                            var         No                  singleOrRecId
                 ---------------    ---                 TK_EPSILON       ---------------      option_single_constructed        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---             --------------       ---------------                         ioStmt         No                            var
                               )     65                      TK_CL       ---------------                         ioStmt        Yes      -------------------------
                               ;     65                     TK_SEM       ---------------                         ioStmt        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                     otherStmts         No                           stmt
                 ---------------    ---             --------------       ---------------                     otherStmts         No                     otherStmts
                            b5c6     66                      TK_ID       ---------------                  singleOrRecId        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                 assignmentStmt         No                  singleOrRecId
                               .     66                     TK_DOT       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                   oneExpansion
                           maths     66                 TK_FIELDID       ---------------                   oneExpansion        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                  singleOrRecId         No      option_single_constructed
                 ---------------    ---                 TK_EPSILON       ---------------                 moreExpansions        Yes      -------------------------
                 ---------------    ---             --------------       ---------------      option_single_constructed         No                 moreExpansions
                 ---------------    ---             --------------       ---------------                           stmt         No                 assignmentStmt
                            <---     66                TK_ASSIGNOP       ---------------                 assignmentStmt        Yes      -------------------------
                            0.00     66                    TK_RNUM              0.000000                            var        Yes      -------------------------
                 ---------------    ---             --------------       ---------------                         factor         No                            var
                 ---------------    ---             --------------       ---------------                           term         No                         factor
